Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Dak Prescott (DAL),41,58,70.7,502,8.7,4,1,3,2,12,0,1,1,38.3,38.3,93.5%,2020,4
2,Tom Brady (TB),30,46,65.2,369,8,5,1,0,3,-3,0,0,1,33.5,33.5,87.4%,2020,4
3,Aaron Rodgers (GB),27,33,81.8,327,9.9,4,0,1,1,5,0,0,1,29.6,29.6,83.7%,2020,4
4,Teddy Bridgewater (MIA),26,37,70.3,276,7.5,2,1,0,6,32,1,0,1,27.2,27.2,5.4%,2020,4
5,Lamar Jackson (BAL),14,21,66.7,193,9.2,2,1,1,7,53,1,0,1,26,26,92.4%,2020,4
6,Josh Allen (BUF),24,34,70.6,288,8.5,2,0,1,3,-1,1,0,1,25.4,25.4,100.0%,2020,4
7,Justin Herbert (LAC),20,25,80,290,11.6,3,1,2,5,14,0,0,1,24,24,98.4%,2020,4
8,Sam Darnold (CAR),23,42,54.8,230,5.5,0,0,6,6,84,1,0,1,23.6,23.6,5.3%,2020,4
9,Ryan Fitzpatrick (FA),29,45,64.4,315,7,0,2,1,6,47,1,0,1,23.3,23.3,0.0%,2020,4
10,Matthew Stafford (LAR),17,31,54.8,206,6.6,3,1,3,3,21,0,0,1,23.3,23.3,28.1%,2020,4
11,Kyler Murray (ARI),24,31,77.4,133,4.3,3,0,1,6,78,0,1,1,23.1,23.1,53.7%,2020,4
12,Carson Wentz (WAS),18,28,64.3,193,6.9,1,1,3,7,37,1,0,1,22.4,22.4,8.4%,2020,4
13,Gardner Minshew II (PHI),27,40,67.5,351,8.8,2,1,3,2,9,0,0,1,21.9,21.9,36.5%,2020,4
14,Russell Wilson (DEN),24,34,70.6,360,10.6,2,1,2,4,5,0,0,1,21.9,21.9,45.7%,2020,4
15,Deshaun Watson (CLE),20,33,60.6,300,9.1,2,0,3,5,9,0,0,1,20.9,20.9,64.4%,2020,4
16,Derek Carr (LV),32,44,72.7,311,7.1,2,0,2,4,20,0,1,1,20.4,20.4,54.7%,2020,4
17,Patrick Mahomes II (KC),19,29,65.5,236,8.1,2,0,1,8,28,0,0,1,20.2,20.2,100.0%,2020,4
18,Dwayne Haskins (FA),32,45,71.1,314,7,0,0,3,3,3,1,0,1,18.9,18.9,0.1%,2020,4
19,Drew Brees (FA),19,25,76,246,9.8,2,1,2,3,-3,0,0,1,16.5,16.5,35.7%,2020,4
20,Joe Burrow (CIN),25,36,69.4,300,8.3,1,1,1,4,11,0,0,1,16.1,16.1,99.7%,2020,4
21,Baker Mayfield (LAR),19,30,63.3,165,5.5,2,0,2,3,6,0,0,1,15.2,15.2,8.3%,2020,4
22,Kirk Cousins (MIN),16,22,72.7,260,11.8,1,0,3,4,5,0,0,1,14.9,14.9,92.3%,2020,4
23,Brett Rypien (DEN),19,31,61.3,242,7.8,2,3,0,5,-5,0,0,1,14.2,14.2,0.4%,2020,4
24,Nick Foles (IND),26,42,61.9,249,5.9,1,1,1,2,-1,0,0,1,12.9,12.9,1.6%,2020,4
25,Matt Ryan (IND),28,39,71.8,285,7.3,0,0,4,2,10,0,0,1,12.4,12.4,8.8%,2020,4
26,Jared Goff (DET),25,32,78.1,200,6.3,1,0,2,3,-3,0,0,1,11.7,11.7,77.6%,2020,4
27,Philip Rivers (FA),16,29,55.2,190,6.6,1,0,1,3,-4,0,0,1,11.2,11.2,20.6%,2020,4
28,Daniel Jones (NYG),23,36,63.9,190,5.3,0,1,5,6,45,0,0,1,11.1,11.1,64.1%,2020,4
29,Nick Mullens (MIN),18,26,69.2,200,7.7,1,2,4,0,0,0,1,1,8,8,0.0%,2020,4
30,C.J. Beathard (JAC),14,19,73.7,138,7.3,0,0,1,0,0,0,0,1,5.5,5.5,0.0%,2020,4
31,Jarrett Stidham (LV),5,13,38.5,60,4.6,1,2,0,2,3,0,0,1,4.7,4.7,5.2%,2020,4
32,Brian Hoyer (NE),15,24,62.5,130,5.4,0,1,2,1,8,0,1,1,3,3,0.1%,2020,4
33,Taysom Hill (NO),0,0,0,0,0,0,0,0,3,6,0,0,1,1.9,1.9,49.2%,2020,4
34,Jalen Hurts (PHI),0,0,0,0,0,0,0,0,3,18,0,0,1,1.8,1.8,98.9%,2020,4
35,Jeff Driskel (HOU),0,0,0,0,0,0,0,0,1,9,0,0,1,0.9,0.9,5.1%,2020,4
36,Joe Flacco (NYJ),2,2,100,16,8,0,0,0,0,0,0,0,1,0.6,0.6,0.9%,2020,4
37,John Lovett (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,4
38,Tim Boyle (CHI),0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,2020,4
39,Robert Griffin III (FA),0,1,0,0,0,0,1,0,3,3,0,0,1,-0.7,-0.7,1.0%,2020,4
