Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Younghoe Koo (ATL),5,5,100,54,0,1,3,0,1,4,4,1,21,21,42.3%,2020,12
2,Graham Gano (NYG),4,4,100,49,0,0,2,2,0,1,1,1,15,15,34.0%,2020,12
3,Robbie Gould (SF),3,4,75,46,0,0,0,3,0,2,2,1,14,14,32.9%,2020,12
4,Jason Sanders (MIA),2,2,100,54,0,0,0,0,2,2,2,1,12,12,9.0%,2020,12
5,Jason Myers (SEA),3,3,100,44,0,0,2,1,0,2,2,1,12,12,3.6%,2020,12
6,Dustin Hopkins (LAC),2,2,100,36,0,1,1,0,0,5,5,1,11,11,3.2%,2020,12
7,Tyler Bass (BUF),2,2,100,45,0,0,0,2,0,3,3,1,11,11,83.0%,2020,12
8,Greg Zuerlein (NYJ),3,3,100,33,0,1,2,0,0,1,1,1,10,10,17.8%,2020,12
9,Ka'imi Fairbairn (HOU),2,2,100,42,0,1,0,1,0,3,4,1,10,10,0.3%,2020,12
10,Nick Folk (NE),2,2,100,50,0,1,0,0,1,2,2,1,10,10,66.2%,2020,12
11,Cody Parkey (FA),2,2,100,45,0,1,0,1,0,3,3,1,10,10,0.1%,2020,12
12,Dan Bailey (FA),2,2,100,53,0,1,0,0,1,2,2,1,10,10,0.0%,2020,12
13,Stephen Gostkowski (FA),1,1,100,49,0,0,0,1,0,6,6,1,10,10,0.1%,2020,12
14,Matt Gay (LAR),2,2,100,48,0,0,0,2,0,2,2,1,10,10,78.3%,2020,12
15,Joey Slye (WAS),2,4,50,40,0,1,0,1,0,3,3,1,10,10,0.6%,2020,12
16,Aldrick Rosas (DET),2,3,66.7,54,0,1,0,0,1,1,1,1,9,9,0.1%,2020,12
17,Harrison Butker (KC),2,2,100,29,1,1,0,0,0,3,3,1,9,9,81.3%,2020,12
18,Wil Lutz (NO),1,1,100,40,0,0,0,1,0,4,4,1,8,8,4.0%,2020,12
19,Chris Boswell (PIT),2,2,100,27,0,2,0,0,0,1,2,1,7,7,10.7%,2020,12
20,Zane Gonzalez (CAR),1,2,50,47,0,0,0,1,0,2,2,1,6,6,0.5%,2020,12
21,Daniel Carlson (LV),2,2,100,29,0,2,0,0,0,0,0,1,6,6,89.9%,2020,12
22,Randy Bullock (TEN),1,1,100,44,0,0,0,1,0,2,2,1,6,6,2.0%,2020,12
23,Ryan Succop (TB),1,1,100,26,0,1,0,0,0,3,3,1,6,6,16.1%,2020,12
24,Brandon McManus (DEN),1,1,100,58,0,0,0,0,1,0,0,1,5,5,49.4%,2020,12
25,Mason Crosby (GB),0,0,0,0,0,0,0,0,0,5,6,1,5,5,23.3%,2020,12
26,Cairo Santos (CHI),1,1,100,27,0,1,0,0,0,2,2,1,5,5,0.7%,2020,12
27,Matt Prater (ARI),1,1,100,29,0,1,0,0,0,2,2,1,5,5,53.5%,2020,12
28,Jake Elliott (PHI),1,1,100,42,0,0,0,1,0,0,1,1,4,4,14.1%,2020,12
29,Michael Badgley (FA),1,1,100,27,0,1,0,0,0,0,1,1,3,3,15.6%,2020,12
30,Sergio Castillo (NYJ),1,2,50,38,0,0,1,0,0,0,0,1,3,3,0.0%,2020,12
31,Justin Tucker (BAL),0,0,0,0,0,0,0,0,0,2,2,1,2,2,99.5%,2020,12
32,Rodrigo Blankenship (IND),0,0,0,0,0,0,0,0,0,2,2,1,2,2,7.5%,2020,12
52,Ty Long (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2020,12
