Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
1,Ka'imi Fairbairn (HOU),37,42,88.1,54,1,9,11,12,4,39,41,16,170,10.6,0.3%,2018
2,Justin Tucker (BAL),35,39,89.7,56,0,12,9,9,5,36,37,16,160,10,99.5%,2018
3,Jason Myers (SEA),33,36,91.7,56,0,4,13,10,6,30,33,16,151,9.4,3.6%,2018
4,Wil Lutz (NO),28,30,93.3,54,1,5,9,11,2,52,53,16,151,9.4,4.0%,2018
5,Harrison Butker (KC),24,27,88.9,54,0,9,7,6,2,65,69,16,147,9.2,81.3%,2018
6,Mason Crosby (GB),30,37,81.1,53,0,4,10,11,5,34,36,16,145,9.1,23.3%,2018
7,Aldrick Rosas (DET),32,33,97,57,0,9,13,6,4,31,32,16,141,8.8,0.1%,2018
8,Robbie Gould (SF),33,34,97.1,53,0,9,13,9,2,27,29,16,139,8.7,32.9%,2018
9,Brett Maher (FA),29,36,80.6,62,0,10,6,7,6,32,33,16,138,8.6,2.0%,2018
10,Stephen Gostkowski (FA),27,32,84.4,52,0,11,10,4,2,49,50,16,138,8.6,0.1%,2018
11,Matt Prater (ARI),28,32,87.5,54,0,8,12,5,3,30,30,16,129.3,8.1,53.5%,2018
12,Greg Zuerlein (NYJ),27,31,87.1,56,0,9,10,4,4,35,36,11,128,11.6,17.8%,2018
13,Sebastian Janikowski (FA),22,27,81.5,56,0,2,9,8,3,48,51,16,128,8,20.0%,2018
14,Adam Vinatieri (FA),23,27,85.2,54,0,8,6,5,4,44,47,16,126,7.9,0.2%,2018
15,Jake Elliott (PHI),26,31,83.9,56,0,7,10,7,2,33,35,16,122,7.6,14.1%,2018
16,Cody Parkey (FA),23,30,76.7,50,0,6,7,9,1,42,45,16,122,7.6,0.1%,2018
17,Dustin Hopkins (LAC),26,29,89.7,56,0,5,7,10,4,25,26,16,121,7.6,3.2%,2018
18,Ryan Succop (TB),26,30,86.7,54,0,5,13,5,3,28,31,16,117,7.3,16.1%,2018
19,Matt Bryant (FA),20,21,95.2,57,0,4,5,7,4,33,35,13,108,8.3,1.1%,2018
20,Stephen Hauschka (FA),22,28,78.6,54,0,3,8,7,4,25,26,16,106,6.6,0.0%,2018
21,Brandon McManus (DEN),20,25,80,53,0,5,6,7,2,35,35,16,106,6.6,49.4%,2018
22,Randy Bullock (TEN),19,23,82.6,51,0,4,7,6,2,39,41,16,106,6.6,2.0%,2018
23,Dan Bailey (FA),21,28,75,52,0,5,11,4,1,30,31,14,99,7.1,0.0%,2018
24,Jason Sanders (MIA),18,20,90,50,0,7,3,7,1,35,36,16,98,6.1,9.0%,2018
25,Chris Boswell (PIT),13,20,65,50,0,3,4,5,1,43,48,15,93.1,6.2,10.7%,2018
26,Daniel Carlson (LV),17,21,81,50,0,2,3,9,3,24,24,12,90,7.5,89.9%,2018
27,Josh Lambo (FA),19,21,90.5,57,0,4,8,3,4,19,20,13,87,6.7,0.1%,2018
28,Chandler Catanzaro (FA),16,20,80,59,0,4,9,0,3,30,35,13,84,6.5,0.0%,2018
29,Greg Joseph (MIN),17,20,85,51,0,4,7,5,1,25,29,14,83,5.9,5.5%,2018
30,Graham Gano (NYG),14,16,87.5,63,0,3,4,4,3,30,33,12,82,6.8,34.0%,2018
31,Michael Badgley (FA),15,16,93.8,59,0,4,5,5,1,27,28,10,79,7.9,15.6%,2018
32,Cairo Santos (CHI),14,18,77.8,45,1,4,6,3,0,22,23,9,67,7.4,0.7%,2018
33,Zane Gonzalez (CAR),9,14,64.3,55,0,1,4,2,2,8,11,7,41,5.9,0.5%,2018
34,Caleb Sturgis (FA),9,13,69.2,49,0,4,2,3,0,9,15,6,39,6.5,0.0%,2018
35,Matt McCrane (FA),8,12,66.7,47,0,3,2,3,0,9,9,5,36,7.2,0.0%,2018
36,Phil Dawson (FA),5,8,62.5,43,0,2,2,1,0,15,15,10,31,3.1,0.1%,2018
37,Giorgio Tavecchio (FA),5,5,100,56,0,1,0,2,2,8,8,3,29,9.7,1.0%,2018
38,Mike Nugent (FA),6,6,100,52,0,3,0,2,1,4,5,3,26,8.7,1.0%,2018
39,Kai Forbath (LAR),4,5,80,41,0,2,1,1,0,3,3,3,16,5.3,3.0%,2018
40,Sam Ficken (FA),1,3,33.3,34,0,0,1,0,0,10,10,2,13,6.5,0.1%,2018
79,Michael Palardy (MIA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,33.3%,2018
