Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Patrick Mahomes II (KC),30,44,68.2,443,10.1,4,0,2,1,-1,0,1,1,31.6,31.6,100.0%,2019,2
2,Lamar Jackson (BAL),24,37,64.9,272,7.4,2,0,2,16,120,0,0,1,30.9,30.9,92.4%,2019,2
3,Dak Prescott (DAL),26,30,86.7,269,9,3,1,1,5,69,0,0,1,28.7,28.7,93.5%,2019,2
4,Tom Brady (TB),20,28,71.4,264,9.4,2,0,2,2,1,1,0,1,24.7,24.7,87.4%,2019,2
5,Russell Wilson (DEN),29,35,82.9,300,8.6,3,0,4,6,22,0,1,1,24.2,24.2,45.7%,2019,2
6,Jimmy Garoppolo (SF),17,25,68,296,11.8,3,1,0,4,8,0,0,1,23.6,23.6,13.5%,2019,2
7,Josh Allen (BUF),19,30,63.3,253,8.4,1,0,3,7,21,1,0,1,22.2,22.2,100.0%,2019,2
8,Matt Ryan (IND),27,43,62.8,320,7.4,3,3,1,2,3,0,0,1,22.1,22.1,8.8%,2019,2
9,Andy Dalton (NO),26,42,61.9,311,7.4,2,1,4,2,2,0,0,1,19.6,19.6,10.5%,2019,2
10,Carson Wentz (WAS),25,43,58.1,231,5.4,1,2,3,3,3,1,0,1,19.5,19.5,8.4%,2019,2
11,Jared Goff (DET),19,28,67.9,283,10.1,1,0,3,4,-2,1,1,1,19.1,19.1,77.6%,2019,2
12,Jacoby Brissett (CLE),17,28,60.7,146,5.2,3,1,3,7,25,0,1,1,17.3,17.3,3.8%,2019,2
13,Matthew Stafford (LAR),22,30,73.3,245,8.2,2,2,0,4,13,0,0,1,17.1,17.1,28.1%,2019,2
14,Joe Flacco (NYJ),35,50,70,292,5.8,1,1,2,0,0,0,0,1,16.7,16.7,0.9%,2019,2
15,Case Keenum (BUF),26,37,70.3,221,6,2,0,1,1,-1,0,0,1,16.7,16.7,0.7%,2019,2
16,Kyler Murray (ARI),25,40,62.5,349,8.7,0,0,3,3,4,0,0,1,16.4,16.4,53.7%,2019,2
17,Gardner Minshew II (PHI),23,33,69.7,213,6.5,1,0,4,6,56,0,1,1,16.1,16.1,36.5%,2019,2
18,Baker Mayfield (LAR),19,35,54.3,325,9.3,1,1,3,0,0,0,0,1,16,16,8.3%,2019,2
19,Aaron Rodgers (GB),22,34,64.7,209,6.1,2,0,2,1,0,0,1,1,14.4,14.4,83.7%,2019,2
20,Marcus Mariota (ATL),19,28,67.9,154,5.5,1,0,4,5,32,0,0,1,13.4,13.4,16.1%,2019,2
21,Jameis Winston (NO),16,25,64,208,8.3,1,0,3,4,9,0,0,1,13.2,13.2,5.5%,2019,2
22,Deshaun Watson (CLE),16,29,55.2,159,5.5,0,0,4,4,5,1,0,1,12.9,12.9,64.4%,2019,2
23,Mason Rudolph (PIT),12,19,63.2,112,5.9,2,1,0,1,7,0,0,1,12.2,12.2,0.0%,2019,2
24,Eli Manning (FA),26,45,57.8,250,5.6,1,2,1,1,2,0,0,1,12.2,12.2,2.3%,2019,2
25,Philip Rivers (FA),21,36,58.3,293,8.1,0,1,1,1,12,0,0,1,11.9,11.9,20.6%,2019,2
26,Derek Carr (LV),23,38,60.5,198,5.2,1,2,3,2,18,0,0,1,11.7,11.7,54.7%,2019,2
27,Cam Newton (FA),25,51,49,333,6.5,0,0,3,2,0,0,1,1,11.3,11.3,9.1%,2019,2
28,Kirk Cousins (MIN),14,32,43.8,230,7.2,1,2,1,2,17,0,1,1,10.9,10.9,92.3%,2019,2
29,Luke Falk (FA),20,25,80,198,7.9,0,0,2,0,0,0,0,1,7.9,7.9,0.1%,2019,2
30,Teddy Bridgewater (MIA),17,30,56.7,165,5.5,0,0,2,2,5,0,0,1,7.1,7.1,5.4%,2019,2
31,Mitch Trubisky (PIT),16,27,59.3,120,4.4,0,0,0,1,8,0,0,1,5.6,5.6,0.8%,2019,2
32,Ben Roethlisberger (FA),8,15,53.3,75,5,0,0,1,0,0,0,0,1,3,3,13.6%,2019,2
33,Josh Rosen (MIN),7,18,38.9,97,5.4,0,1,3,0,0,0,0,1,2.9,2.9,0.0%,2019,2
34,Taysom Hill (NO),0,0,0,0,0,0,0,0,0,0,0,0,1,2.6,2.6,49.2%,2019,2
35,Ryan Fitzpatrick (FA),11,21,52.4,89,4.2,0,3,4,1,6,0,0,1,1.2,1.2,0.0%,2019,2
36,Josh McCown (FA),3,5,60,24,4.8,0,0,0,0,0,0,0,1,1,1,0.0%,2019,2
37,Drew Brees (FA),3,5,60,38,7.6,0,1,0,0,0,0,0,1,0.5,0.5,35.7%,2019,2
38,Trevor Siemian (CHI),3,6,50,3,0.5,0,0,2,0,0,0,0,1,0.1,0.1,0.0%,2019,2
39,Tyrod Taylor (NYG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,2
