Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Daniel Jones (NYG),28,42,66.7,352,8.4,5,0,1,3,12,0,0,1,35.3,35.3,64.1%,2019,16
2,Andy Dalton (NO),33,56,58.9,396,7.1,4,0,4,0,0,0,1,1,33.8,33.8,10.5%,2019,16
3,Ryan Fitzpatrick (FA),31,52,59.6,419,8.1,4,1,2,5,9,0,0,1,32.7,32.7,0.0%,2019,16
4,Lamar Jackson (BAL),20,31,64.5,238,7.7,3,0,0,17,103,0,1,1,29.8,29.8,92.4%,2019,16
5,Patrick Mahomes II (KC),23,33,69.7,251,7.6,2,0,1,2,14,1,0,1,25.4,25.4,100.0%,2019,16
6,Ryan Tannehill (TEN),17,27,63,272,10.1,3,0,5,1,8,0,0,1,23.7,23.7,18.6%,2019,16
7,Drew Brees (FA),27,38,71.1,279,7.3,3,0,3,3,-3,0,0,1,22.9,22.9,35.7%,2019,16
8,Derek Carr (LV),26,30,86.7,291,9.7,1,0,3,1,3,1,0,1,21.9,21.9,54.7%,2019,16
9,Jared Goff (DET),27,46,58.7,323,7,2,1,0,4,12,0,0,1,21.1,21.1,77.6%,2019,16
10,Josh Allen (BUF),13,26,50,208,8,2,0,4,7,43,0,0,1,20.6,20.6,100.0%,2019,16
11,Carson Wentz (WAS),31,40,77.5,319,8,1,0,1,6,22,0,0,1,19,19,8.4%,2019,16
12,Matt Ryan (IND),32,45,71.1,384,8.5,1,2,1,4,6,0,0,1,18,18,8.8%,2019,16
13,Tom Brady (TB),26,33,78.8,271,8.2,1,0,0,4,4,0,0,1,17.2,17.2,87.4%,2019,16
14,Case Keenum (BUF),16,22,72.7,158,7.2,1,0,1,1,1,1,0,1,16.4,16.4,0.7%,2019,16
15,Jacoby Brissett (CLE),14,27,51.9,119,4.4,0,0,3,3,37,1,0,1,15.2,15.2,3.8%,2019,16
16,Baker Mayfield (LAR),20,33,60.6,192,5.8,2,1,0,2,4,0,0,1,15.1,15.1,8.3%,2019,16
17,Jameis Winston (NO),25,48,52.1,335,7,1,4,3,2,16,0,0,1,15,15,5.5%,2019,16
18,Gardner Minshew II (PHI),13,31,41.9,181,5.8,1,0,3,7,36,0,0,1,14.8,14.8,36.5%,2019,16
19,Dwayne Haskins (FA),12,15,80,133,8.9,2,0,2,0,0,0,0,1,13.3,13.3,0.1%,2019,16
20,Kyler Murray (ARI),11,18,61.1,118,6.6,1,0,1,6,40,0,0,1,12.7,12.7,53.7%,2019,16
21,Drew Lock (SEA),25,33,75.8,192,5.8,1,0,0,4,10,0,0,1,12.7,12.7,0.2%,2019,16
22,Jimmy Garoppolo (SF),16,27,59.3,248,9.2,1,2,6,4,5,0,0,1,12.4,12.4,13.5%,2019,16
23,Dak Prescott (DAL),25,44,56.8,265,6,0,0,2,1,7,0,0,1,11.3,11.3,93.5%,2019,16
24,Philip Rivers (FA),27,39,69.2,279,7.2,0,0,1,0,0,0,0,1,11.2,11.2,20.6%,2019,16
25,Russell Wilson (DEN),16,31,51.6,169,5.5,1,0,5,2,2,0,0,1,11,11,45.7%,2019,16
26,Deshaun Watson (CLE),19,32,59.4,184,5.8,0,1,5,7,37,0,0,1,10.1,10.1,64.4%,2019,16
27,Sam Darnold (CAR),16,26,61.5,183,7,1,0,2,4,3,0,1,1,9.6,9.6,5.3%,2019,16
28,Aaron Rodgers (GB),26,40,65,216,5.4,0,1,3,3,-3,0,0,1,9.3,9.3,83.7%,2019,16
29,Mason Rudolph (PIT),14,20,70,129,6.5,1,0,1,2,0,0,0,1,9.2,9.2,0.0%,2019,16
30,David Blough (ARI),12,24,50,117,4.9,1,0,4,0,0,0,0,1,8.7,8.7,0.4%,2019,16
31,Mitch Trubisky (PIT),18,34,52.9,157,4.6,0,0,3,6,20,0,0,1,8.3,8.3,0.8%,2019,16
32,Kirk Cousins (MIN),16,31,51.6,122,3.9,1,1,5,0,0,0,0,1,7.9,7.9,92.3%,2019,16
33,Will Grier (DAL),27,44,61.4,224,5.1,0,3,5,4,17,0,0,1,7.7,7.7,0.0%,2019,16
34,Brett Hundley (BAL),4,9,44.4,49,5.4,0,0,1,6,35,0,0,1,5.5,5.5,0.0%,2019,16
35,Taysom Hill (NO),1,2,50,20,10,0,0,0,2,11,0,0,1,5,5,49.2%,2019,16
36,Devlin Hodges (FA),11,17,64.7,84,4.9,0,2,3,1,0,0,0,1,1.4,1.4,0.0%,2019,16
37,Matt Moore (FA),0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,2019,16
38,Brian Hoyer (NE),0,0,0,0,0,0,0,0,3,-2,0,0,1,-0.2,-0.2,0.1%,2019,16
39,Tyrod Taylor (NYG),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.1%,2019,16
