Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Baltimore Ravens (BAL),4,2,1,1,1,0,0,1,20,20,44.1%,2018,16
2,Jacksonville Jaguars (JAC),3,1,1,1,1,0,0,1,17,17,1.0%,2018,16
3,Atlanta Falcons (ATL),2,3,1,1,0,0,0,1,14,14,0.5%,2018,16
4,Dallas Cowboys (DAL),3,0,2,1,1,0,0,1,14,14,73.8%,2018,16
5,Tennessee Titans (TEN),2,2,0,0,1,0,0,1,13,13,8.1%,2018,16
6,Miami Dolphins (MIA),6,0,1,1,0,0,0,1,12,12,58.2%,2018,16
7,New England Patriots (NE),0,2,1,1,0,0,0,1,10,10,46.6%,2018,16
8,Los Angeles Rams (LAR),4,0,0,0,0,0,0,1,8,8,69.6%,2018,16
9,San Francisco 49ers (SF),3,0,2,1,0,0,0,1,8,8,83.9%,2018,16
10,Chicago Bears (CHI),1,1,0,1,0,0,0,1,7,7,2.9%,2018,16
11,Buffalo Bills (BUF),1,2,1,1,0,0,0,1,7,7,99.6%,2018,16
12,Minnesota Vikings (MIN),3,0,0,0,0,0,0,1,7,7,12.2%,2018,16
13,New Orleans Saints (NO),3,0,2,2,0,0,0,1,6,6,80.6%,2018,16
14,Los Angeles Chargers (LAC),3,0,1,1,0,0,0,1,6,6,52.5%,2018,16
15,Houston Texans (HOU),1,1,2,3,0,0,0,1,6,6,3.8%,2018,16
16,Las Vegas Raiders (LV),1,2,0,1,0,0,1,1,6,6,6.4%,2018,16
17,Philadelphia Eagles (PHI),4,0,1,1,0,0,0,1,5,5,40.7%,2018,16
18,Carolina Panthers (CAR),1,0,2,1,0,0,0,1,5,5,6.1%,2018,16
19,Seattle Seahawks (SEA),1,0,2,2,0,0,0,1,4,4,5.1%,2018,16
20,Washington Commanders (WAS),3,0,0,0,0,0,0,1,4,4,40.4%,2018,16
21,Cleveland Browns (CLE),3,0,0,1,0,0,0,1,4,4,21.9%,2018,16
22,Pittsburgh Steelers (PIT),2,1,0,1,0,0,0,1,3,3,23.6%,2018,16
23,Arizona Cardinals (ARI),2,0,1,1,0,0,0,1,3,3,14.4%,2018,16
24,New York Giants (NYG),1,1,0,0,0,0,0,1,2,2,1.8%,2018,16
25,New York Jets (NYJ),4,0,1,0,0,0,1,1,2,2,2.0%,2018,16
26,Indianapolis Colts (IND),0,1,0,0,0,0,0,1,2,2,57.4%,2018,16
27,Detroit Lions (DET),2,0,0,0,0,0,0,1,2,2,1.1%,2018,16
28,Denver Broncos (DEN),1,0,0,0,0,0,0,1,1,1,44.1%,2018,16
29,Tampa Bay Buccaneers (TB),1,0,0,1,0,0,0,1,1,1,95.4%,2018,16
30,Cincinnati Bengals (CIN),0,0,0,0,0,0,0,1,0,0,22.4%,2018,16
31,Kansas City Chiefs (KC),3,0,0,0,0,0,0,1,-1,-1,41.6%,2018,16
32,Green Bay Packers (GB),2,0,0,0,0,0,0,1,-2,-2,75.5%,2018,16
