Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Cordarrelle Patterson (ATL),6,34,5.7,13,0,0,5,6,82,16.4,3,0,1,34.6,34.6,93.2%,2021,4
2,Saquon Barkley (NYG),13,52,4,17,0,1,5,6,74,14.8,1,0,1,29.6,29.6,98.7%,2021,4
3,Austin Ekeler (LAC),15,117,7.8,20,0,1,3,5,28,9.3,1,0,1,29.5,29.5,99.9%,2021,4
4,Derrick Henry (TEN),33,157,4.8,22,0,1,2,2,20,10,0,0,1,25.7,25.7,99.8%,2021,4
5,David Montgomery (CHI),23,106,4.6,24,0,2,0,0,0,0,0,0,1,22.6,22.6,98.6%,2021,4
6,Najee Harris (PIT),15,62,4.1,11,0,1,6,7,29,4.8,0,0,1,21.1,21.1,99.8%,2021,4
7,Kenneth Gainwell (PHI),3,31,10.3,13,0,1,6,8,58,9.7,0,0,1,20.9,20.9,32.7%,2021,4
8,James Robinson (JAC),18,78,4.3,20,0,2,1,2,-2,-2,0,0,1,20.6,20.6,81.2%,2021,4
9,James Conner (ARI),18,50,2.8,10,0,2,2,2,16,8,0,0,1,20.6,20.6,98.7%,2021,4
10,Jonathan Taylor (IND),16,103,6.4,38,0,1,3,3,11,3.7,0,0,1,20.4,20.4,99.9%,2021,4
11,Ezekiel Elliott (DAL),20,143,7.2,47,0,1,0,1,0,0,0,0,1,20.3,20.3,96.8%,2021,4
12,Clyde Edwards-Helaire (KC),14,102,7.3,17,0,0,2,3,1,0.5,1,0,1,18.3,18.3,92.3%,2021,4
13,Chase Edmonds (MIA),12,120,10,54,0,0,4,5,19,4.8,0,0,1,17.9,17.9,90.2%,2021,4
14,J.D. McKissic (WAS),7,15,2.1,10,0,0,5,5,44,8.8,1,0,1,16.9,16.9,65.5%,2021,4
15,Leonard Fournette (TB),20,92,4.6,21,0,0,3,5,47,15.7,0,0,1,16.9,16.9,99.7%,2021,4
16,Kareem Hunt (CLE),14,69,4.9,33,0,1,2,4,17,8.5,0,0,1,16.6,16.6,91.2%,2021,4
17,Darrell Henderson Jr. (LAR),14,89,6.4,15,0,0,5,6,27,5.4,0,0,1,16.6,16.6,59.8%,2021,4
18,Jeremy McNichols (FA),1,11,11,11,0,0,8,12,74,9.3,0,0,1,16.5,16.5,3.6%,2021,4
19,Alex Collins (FA),10,44,4.4,14,0,1,2,2,34,17,0,0,1,15.8,15.8,9.6%,2021,4
20,Antonio Gibson (WAS),14,63,4.5,8,0,1,2,2,12,6,0,0,1,15.5,15.5,98.3%,2021,4
21,Damien Williams (ATL),8,55,6.9,23,0,1,2,2,15,7.5,0,0,1,15,15,1.9%,2021,4
22,Darrel Williams (KC),10,42,4.2,10,0,1,2,2,16,8,0,0,1,13.8,13.8,1.7%,2021,4
23,Joe Mixon (CIN),16,67,4.2,11,0,1,1,2,0,0,0,0,1,13.7,13.7,99.8%,2021,4
24,Zack Moss (BUF),14,61,4.4,17,0,1,0,1,0,0,0,0,1,12.1,12.1,4.8%,2021,4
