Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
5,A.J. Green (ARI),5,9,69,13.8,32,1,3,0,0,0,0,1,29.9,29.9,6.7%,2018,2
16,A.J. Green (ARI),6,8,92,15.3,38,1,1,0,0,0,1,1,19.2,19.2,6.7%,2018,1
12,A.J. Green (ARI),7,14,117,16.7,31,3,0,0,0,0,0,1,18.7,18.7,6.7%,2018,7
16,A.J. Green (ARI),5,7,76,15.2,23,1,1,0,0,0,0,1,18.6,18.6,6.7%,2018,8
22,A.J. Green (ARI),4,8,78,19.5,38,1,1,0,0,0,0,1,17.8,17.8,6.7%,2018,4
21,A.J. Green (ARI),6,10,112,18.7,23,3,0,0,0,0,0,1,17.2,17.2,6.7%,2018,5
25,A.J. Green (ARI),7,12,85,12.1,23,1,0,0,0,0,0,1,15.5,15.5,6.7%,2018,6
43,A.J. Green (ARI),5,8,58,11.6,31,1,0,0,0,0,0,1,10.8,10.8,6.7%,2018,3
108,A.J. Green (ARI),1,1,7,7,7,0,0,0,0,0,0,1,1.7,1.7,6.7%,2018,13
2,Adam Humphries (FA),8,8,82,10.3,30,1,2,1,7,0,0,1,28.9,28.9,0.6%,2018,9
10,Adam Humphries (FA),7,9,61,8.7,13,0,1,0,0,0,0,1,19.1,19.1,0.6%,2018,13
18,Adam Humphries (FA),10,12,79,7.9,16,0,0,0,0,0,0,1,17.9,17.9,0.6%,2018,16
24,Adam Humphries (FA),6,6,54,9,28,1,1,0,0,0,0,1,17.4,17.4,0.6%,2018,12
24,Adam Humphries (FA),3,5,60,20,39,1,1,0,0,0,0,1,15,15,0.6%,2018,11
20,Adam Humphries (FA),7,10,76,10.9,17,0,0,0,0,0,0,1,14.6,14.6,0.6%,2018,8
41,Adam Humphries (FA),5,6,66,13.2,19,0,0,0,0,0,0,1,11.6,11.6,0.6%,2018,17
