Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
1,Harrison Butker (KC),34,38,89.5,56,0,9,9,13,3,45,48,16,166,10.4,81.3%,2019
2,Wil Lutz (NO),32,36,88.9,58,1,9,6,13,3,48,49,16,163,10.2,4.0%,2019
3,Justin Tucker (BAL),28,29,96.6,51,0,8,9,10,1,57,59,16,153,9.6,99.5%,2019
4,Matt Gay (LAR),27,35,77.1,58,0,6,5,11,5,43,48,16,145,9.1,78.3%,2019
5,Zane Gonzalez (CAR),31,35,88.6,54,0,12,12,5,2,34,35,16,136,8.5,0.5%,2019
6,Josh Lambo (FA),33,34,97.1,56,0,12,9,8,4,19,20,16,134,8.4,0.1%,2019
7,Matt Prater (ARI),26,31,83.9,56,0,11,2,6,7,35,36,16,133,8.3,53.5%,2019
8,Dan Bailey (FA),27,29,93.1,50,0,10,9,5,3,40,44,16,132,8.3,0.0%,2019
9,Brandon McManus (DEN),29,34,85.3,53,0,6,8,11,4,25,26,16,131,8.2,49.4%,2019
10,Joey Slye (WAS),25,32,78.1,55,0,4,5,8,8,31,35,16,130,8.1,0.6%,2019
11,Greg Zuerlein (NYJ),24,33,72.7,58,0,7,7,5,5,42,42,16,129,8.1,17.8%,2019
12,Chris Boswell (PIT),29,31,93.5,51,1,11,7,9,1,28,28,16,126,7.9,10.7%,2019
13,Randy Bullock (TEN),27,31,87.1,57,0,10,6,10,1,24,25,16,117,7.3,2.0%,2019
14,Jason Myers (SEA),23,28,82.1,54,0,6,11,4,2,40,44,16,117,7.3,3.6%,2019
15,Jason Sanders (MIA),23,30,76.7,54,0,7,8,5,3,29,30,16,116.1,7.3,9.0%,2019
16,Robbie Gould (SF),23,31,74.2,47,0,9,8,6,0,41,42,13,116,8.9,32.9%,2019
17,Austin Seibert (DET),25,29,86.2,53,0,6,9,9,1,30,35,16,116,7.3,0.1%,2019
18,Mason Crosby (GB),22,24,91.7,54,1,2,11,7,1,40,41,16,115,7.2,23.3%,2019
19,Ka'imi Fairbairn (HOU),20,25,80,54,0,5,8,4,3,40,45,16,110,6.9,0.3%,2019
20,Jake Elliott (PHI),22,26,84.6,53,0,7,8,5,2,35,37,16,109,6.8,14.1%,2019
21,Dustin Hopkins (LAC),25,30,83.3,53,0,7,8,8,2,21,22,16,108,6.8,3.2%,2019
22,Stephen Hauschka (FA),22,28,78.6,51,0,5,7,9,1,30,32,16,107,6.7,0.0%,2019
23,Brett Maher (FA),20,30,66.7,63,0,9,6,1,4,36,36,13,105,8.1,2.0%,2019
24,Eddy Pineiro (NYJ),23,28,82.1,53,1,8,9,3,2,27,29,16,103,6.4,0.1%,2019
25,Daniel Carlson (LV),19,26,73.1,48,0,8,5,6,0,34,36,16,97,6.1,89.9%,2019
26,Younghoe Koo (ATL),23,26,88.5,50,0,6,9,7,1,15,16,8,93,11.6,42.3%,2019
27,Sam Ficken (FA),19,27,70.4,54,0,2,7,7,3,23,26,15,93,6.2,0.1%,2019
28,Chase McLaughlin (FA),18,23,78.3,50,1,5,4,5,3,26,26,11,91,8.3,0.2%,2019
29,Adam Vinatieri (FA),17,25,68,55,0,6,6,3,2,22,28,12,80,6.7,0.2%,2019
30,Aldrick Rosas (DET),12,17,70.6,45,0,6,5,1,0,35,39,16,72,4.5,0.1%,2019
31,Michael Badgley (FA),13,16,81.3,49,0,5,2,6,0,19,19,9,64,7.1,15.6%,2019
32,Nick Folk (NE),14,17,82.4,51,1,5,3,4,1,12,12,7,60,8.6,66.2%,2019
33,Kai Forbath (LAR),11,11,100,50,0,2,1,7,1,11,12,5,53,10.6,3.0%,2019
34,Matt Bryant (FA),9,14,64.3,52,0,1,3,3,2,14,15,8,48,6,1.1%,2019
35,Ty Long (FA),7,9,77.8,51,0,0,2,4,1,9,9,16,36,2.3,0.7%,2019
36,Stephen Gostkowski (FA),7,8,87.5,41,0,3,3,1,0,11,15,4,33,8.3,0.1%,2019
37,Mike Nugent (FA),5,8,62.5,37,0,3,2,0,0,15,16,5,30,6,1.0%,2019
38,Cairo Santos (CHI),4,9,44.4,53,0,0,1,2,1,12,12,5,28,5.6,0.7%,2019
39,Ryan Succop (TB),1,6,16.7,31,0,0,1,0,0,24,25,7,27,3.9,16.1%,2019
40,Cody Parkey (FA),3,3,100,51,0,0,0,2,1,5,6,4,18,4.5,0.1%,2019
41,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,9,9,3,9,3,5.5%,2019
44,Kaare Vedvik (FA),0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.2%,2019
46,Ryan Santoso (JAC),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
51,Matt McCrane (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
52,Kasey Redfern (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
67,Sebastian Janikowski (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0%,2019
74,Graham Gano (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,34.0%,2019
79,Michael Palardy (MIA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,33.3%,2019
80,Caleb Sturgis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
85,Giorgio Tavecchio (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0%,2019
