Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Christian McCaffrey (CAR),24,146,6.1,58,1,2,3,3,20,6.7,1,0,1,37.6,37.6,99.8%,2019,9
2,Kenyan Drake (LV),15,110,7.3,36,1,1,4,4,52,13,0,0,1,28.2,28.2,24.7%,2019,9
3,Melvin Gordon III (DEN),20,80,4,16,0,2,3,4,29,9.7,0,0,1,25.9,25.9,85.3%,2019,9
4,Derrick Henry (TEN),13,63,4.8,12,0,1,3,3,36,12,1,0,1,24.9,24.9,99.8%,2019,9
5,Josh Jacobs (LV),28,120,4.3,17,0,2,0,2,0,0,0,0,1,24,24,98.3%,2019,9
6,Devin Singletary (BUF),20,95,4.8,17,0,1,3,4,45,15,0,0,1,23,23,92.8%,2019,9
7,David Montgomery (CHI),14,40,2.9,17,0,2,3,4,36,12,0,0,1,22.6,22.6,98.6%,2019,9
8,Damien Williams (ATL),12,125,10.4,91,1,1,2,2,3,1.5,0,0,1,20.8,20.8,1.9%,2019,9
9,Le'Veon Bell (FA),17,66,3.9,14,0,0,8,9,55,6.9,0,0,1,20.1,20.1,0.3%,2019,9
10,Jaylen Samuels (ARI),8,10,1.3,6,0,0,13,13,73,5.6,0,1,1,19.3,19.3,0.1%,2019,9
11,Duke Johnson Jr. (BUF),7,13,1.9,4,0,1,5,5,68,13.6,0,0,1,19.1,19.1,4.4%,2019,9
12,Jamaal Williams (DET),2,10,5,5,0,0,6,6,39,6.5,1,0,1,16.9,16.9,47.8%,2019,9
13,James White (NE),9,38,4.2,8,0,1,2,3,46,23,0,0,1,16.4,16.4,5.2%,2019,9
14,J.D. McKissic (WAS),4,32,8,13,0,0,3,4,40,13.3,1,0,1,16.2,16.2,65.5%,2019,9
15,Ronald Jones II (KC),18,67,3.7,15,0,1,2,2,15,7.5,0,0,1,16.2,16.2,86.4%,2019,9
16,Dalvin Cook (MIN),21,71,3.4,12,0,0,4,7,45,11.3,0,0,1,15.6,15.6,99.9%,2019,9
17,Saquon Barkley (NYG),14,28,2,8,0,0,6,8,67,11.2,0,0,1,15.5,15.5,98.7%,2019,9
18,Jordan Howard (FA),19,82,4.3,17,0,1,1,1,1,1,0,0,1,15.3,15.3,8.7%,2019,9
19,Phillip Lindsay (MIA),9,92,10.2,40,2,1,0,0,0,0,0,0,1,15.2,15.2,0.7%,2019,9
20,Mark Ingram II (NO),15,115,7.7,53,1,0,2,3,29,14.5,0,1,1,14.4,14.4,5.6%,2019,9
21,Carlos Hyde (FA),19,160,8.4,58,2,0,0,0,0,0,0,1,1,14,14,0.2%,2019,9
22,Adrian Peterson (FA),18,108,6,28,1,0,1,1,22,22,0,0,1,14,14,2.1%,2019,9
23,Ezekiel Elliott (DAL),23,139,6,19,0,0,0,0,0,0,0,0,1,13.9,13.9,96.8%,2019,9
24,Chris Carson (SEA),16,105,6.6,59,1,0,2,3,28,14,0,1,1,13.3,13.3,71.3%,2019,9
25,Austin Ekeler (LAC),12,70,5.8,16,0,0,4,4,23,5.8,0,0,1,13.3,13.3,99.9%,2019,9
26,Nick Chubb (CLE),20,65,3.3,11,0,0,4,5,26,6.5,0,0,1,13.1,13.1,99.4%,2019,9
27,Leonard Fournette (TB),11,40,3.6,11,0,0,5,6,32,6.4,0,0,1,12.2,12.2,99.7%,2019,9
28,Ryquell Armstead (JAC),0,0,0,0,0,0,5,5,65,13,0,0,1,11.5,11.5,0.3%,2019,9
29,Matt Breida (NYG),15,78,5.2,31,1,0,2,2,14,7,0,0,1,11.2,11.2,1.2%,2019,9
30,Miles Sanders (PHI),10,42,4.2,11,0,0,3,3,31,10.3,0,0,1,10.3,10.3,91.9%,2019,9
31,Jalen Richard (FA),2,12,6,7,0,0,3,4,56,18.7,0,0,1,9.8,9.8,1.0%,2019,9
32,Marlon Mack (HOU),21,89,4.2,24,1,0,0,0,0,0,0,0,1,8.9,8.9,29.5%,2019,9
33,Ameer Abdullah (LV),1,2,2,2,0,0,1,1,16,16,1,0,1,8.8,8.8,0.8%,2019,9
34,Gus Edwards (BAL),7,27,3.9,12,0,1,0,0,0,0,0,0,1,8.7,8.7,38.9%,2019,9
35,Dion Lewis (FA),4,20,5,15,0,0,5,5,33,6.6,0,1,1,8.3,8.3,2.0%,2019,9
36,Dare Ogunbowale (HOU),1,1,1,1,0,1,1,1,12,12,0,0,1,8.3,8.3,0.8%,2019,9
37,Trey Edmunds (PIT),12,73,6.1,45,1,0,0,0,0,0,0,0,1,7.3,7.3,0.6%,2019,9
38,Mark Walton (FA),12,29,2.4,14,0,0,3,4,12,4,0,0,1,7.1,7.1,2.0%,2019,9
39,Ty Johnson (NYJ),9,29,3.2,10,0,0,3,3,7,2.3,0,0,1,6.6,6.6,1.1%,2019,9
40,C.J. Ham (MIN),0,0,0,0,0,0,2,4,37,18.5,0,0,1,5.7,5.7,0.2%,2019,9
41,Tevin Coleman (NYJ),12,23,1.9,8,0,0,2,4,13,6.5,0,0,1,5.6,5.6,1.0%,2019,9
42,Rex Burkhead (HOU),4,18,4.5,6,0,0,1,2,16,16,0,0,1,4.4,4.4,11.8%,2019,9
43,Tony Pollard (DAL),3,21,7,10,0,0,1,3,9,9,0,0,1,4,4,90.4%,2019,9
44,Sony Michel (MIA),4,18,4.5,10,0,0,1,2,12,12,0,0,1,4,4,31.3%,2019,9
45,Aaron Jones (GB),8,30,3.8,7,0,0,1,3,-1,-1,0,0,1,3.9,3.9,99.5%,2019,9
46,DeAndre Washington (FA),3,7,2.3,5,0,0,1,1,21,21,0,0,1,3.8,3.8,11.0%,2019,9
47,Nyheim Hines (IND),1,7,7,7,0,0,1,3,21,21,0,0,1,3.8,3.8,51.7%,2019,9
48,Tarik Cohen (FA),2,7,3.5,7,0,0,2,5,9,4.5,0,0,1,3.6,3.6,2.2%,2019,9
49,Dontrell Hilliard (TEN),5,8,1.6,4,0,0,2,2,6,3,0,0,1,3.4,3.4,7.6%,2019,9
