Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Josh Allen (BUF),32,43,74.4,358,8.3,4,0,0,4,9,1,0,1,37.2,37.2,100.0%,2021,3
2,Justin Herbert (LAC),26,38,68.4,281,7.4,4,0,1,4,16,0,0,1,30.8,30.8,98.4%,2021,3
3,Matthew Stafford (LAR),27,38,71.1,343,9,4,0,1,2,-2,0,0,1,29.5,29.5,28.1%,2021,3
4,Tom Brady (TB),41,55,74.5,432,7.9,1,0,3,3,14,1,0,1,28.7,28.7,87.4%,2021,3
5,Sam Darnold (CAR),23,34,67.6,304,8.9,0,0,3,8,11,2,0,1,25.3,25.3,5.3%,2021,3
6,Kirk Cousins (MIN),30,38,78.9,323,8.5,3,0,1,1,2,0,0,1,25.1,25.1,92.3%,2021,3
7,Patrick Mahomes II (KC),27,44,61.4,260,5.9,3,2,2,4,45,0,0,1,24.9,24.9,100.0%,2021,3
8,Ryan Tannehill (TEN),18,27,66.7,197,7.3,3,2,1,5,56,0,0,1,23.5,23.5,18.6%,2021,3
9,Taylor Heinicke (WAS),14,24,58.3,212,8.8,2,2,1,8,21,1,0,1,22.9,22.9,11.6%,2021,3
10,Jalen Hurts (PHI),25,39,64.1,326,8.4,2,2,2,9,35,0,0,1,22.5,22.5,98.9%,2021,3
11,Derek Carr (LV),26,43,60.5,386,9,2,1,3,2,-2,0,0,1,22.2,22.2,54.7%,2021,3
12,Lamar Jackson (BAL),16,31,51.6,287,9.3,1,1,4,8,58,0,0,1,20.3,20.3,92.4%,2021,3
13,Jacoby Brissett (CLE),32,49,65.3,215,4.4,0,0,2,7,37,1,0,1,20.3,20.3,3.8%,2021,3
14,Dak Prescott (DAL),21,26,80.8,238,9.2,3,0,4,9,6,0,1,1,20.1,20.1,93.5%,2021,3
15,Kyler Murray (ARI),28,34,82.4,316,9.3,0,1,0,7,19,1,0,1,19.5,19.5,53.7%,2021,3
16,Joe Burrow (CIN),14,18,77.8,172,9.6,3,1,0,5,7,0,0,1,18.6,18.6,99.7%,2021,3
17,Aaron Rodgers (GB),23,33,69.7,261,7.9,2,0,1,0,0,0,0,1,18.5,18.5,83.7%,2021,3
18,Baker Mayfield (LAR),19,31,61.3,246,7.9,1,0,5,4,31,0,0,1,16.9,16.9,8.3%,2021,3
19,Russell Wilson (DEN),23,32,71.9,298,9.3,1,0,2,3,7,0,0,1,16.6,16.6,45.7%,2021,3
20,Daniel Jones (NYG),24,35,68.6,266,7.6,0,0,2,8,39,0,0,1,16.5,16.5,64.1%,2021,3
21,Jimmy Garoppolo (SF),25,40,62.5,257,6.4,2,1,4,1,4,0,1,1,15.7,15.7,13.5%,2021,3
22,Matt Ryan (IND),27,36,75,243,6.8,2,0,3,1,-1,0,1,1,15.6,15.6,8.8%,2021,3
23,Ben Roethlisberger (FA),38,58,65.5,318,5.5,1,2,4,1,5,0,0,1,15.2,15.2,13.6%,2021,3
24,Mac Jones (NE),30,51,58.8,270,5.3,1,3,2,6,28,0,0,1,14.6,14.6,14.5%,2021,3
25,Jameis Winston (NO),13,21,61.9,128,6.1,2,0,3,5,4,0,0,1,13.5,13.5,5.5%,2021,3
26,Teddy Bridgewater (MIA),19,25,76,235,9.4,0,0,2,4,24,0,0,1,11.8,11.8,5.4%,2021,3
27,Davis Mills (HOU),19,28,67.9,168,6,1,0,4,1,0,0,0,1,10.7,10.7,3.4%,2021,3
28,Trevor Lawrence (JAC),22,34,64.7,219,6.4,1,2,3,6,27,0,2,1,9.5,9.5,85.9%,2021,3
29,Taysom Hill (NO),0,0,0,0,0,0,0,0,6,32,1,0,1,9.2,9.2,49.2%,2021,3
30,Jared Goff (DET),22,30,73.3,217,7.2,0,0,2,1,4,0,0,1,9.1,9.1,77.6%,2021,3
31,Carson Wentz (WAS),19,37,51.4,194,5.2,0,0,2,0,0,0,0,1,7.8,7.8,8.4%,2021,3
32,Trey Lance (SF),0,0,0,0,0,0,0,0,1,1,1,0,1,6.1,6.1,15.9%,2021,3
33,Zach Wilson (NYJ),19,35,54.3,160,4.6,0,2,5,1,2,0,0,1,4.6,4.6,6.4%,2021,3
34,Justin Fields (CHI),6,20,30,68,3.4,0,0,9,3,12,0,0,1,3.9,3.9,92.2%,2021,3
35,Mitch Trubisky (PIT),1,1,100,1,1,0,0,0,4,19,0,0,1,1.9,1.9,0.8%,2021,3
36,Case Keenum (BUF),0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0.7%,2021,3
