Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,New England Patriots (NE),7,4,0,0,2,0,0,1,37,37,46.6%,2019,2
2,Cleveland Browns (CLE),4,0,1,1,0,0,0,1,13,13,21.9%,2019,2
3,Kansas City Chiefs (KC),3,2,0,3,0,0,0,1,11,11,41.6%,2019,2
4,Atlanta Falcons (ATL),3,2,1,0,0,0,0,1,10,10,0.5%,2019,2
5,Houston Texans (HOU),4,0,1,3,0,0,0,1,10,10,3.8%,2019,2
6,Green Bay Packers (GB),1,2,2,3,0,0,0,1,10,10,75.5%,2019,2
7,Detroit Lions (DET),1,1,1,1,0,0,0,1,9,9,1.1%,2019,2
8,Jacksonville Jaguars (JAC),4,0,0,0,0,0,0,1,8,8,1.0%,2019,2
9,Los Angeles Chargers (LAC),0,2,0,0,0,0,0,1,8,8,52.5%,2019,2
10,Tennessee Titans (TEN),3,1,1,0,0,0,0,1,8,8,8.1%,2019,2
11,Los Angeles Rams (LAR),2,1,0,1,0,0,0,1,8,8,69.6%,2019,2
12,San Francisco 49ers (SF),4,1,0,0,0,0,0,1,7,7,83.9%,2019,2
13,Philadelphia Eagles (PHI),1,3,0,1,0,0,0,1,7,7,40.7%,2019,2
14,Pittsburgh Steelers (PIT),4,0,2,1,0,0,0,1,7,7,23.6%,2019,2
15,Tampa Bay Buccaneers (TB),3,0,1,1,0,0,0,1,6,6,95.4%,2019,2
16,Carolina Panthers (CAR),3,0,0,0,0,1,0,1,6,6,6.1%,2019,2
17,Buffalo Bills (BUF),1,2,0,1,0,0,0,1,6,6,99.6%,2019,2
18,Minnesota Vikings (MIN),2,0,2,1,0,0,0,1,6,6,12.2%,2019,2
19,New York Jets (NYJ),3,1,0,0,0,0,0,1,5,5,2.0%,2019,2
20,Indianapolis Colts (IND),4,0,0,2,0,0,0,1,5,5,57.4%,2019,2
21,New Orleans Saints (NO),3,0,1,1,0,0,0,1,5,5,80.6%,2019,2
22,Chicago Bears (CHI),2,1,0,0,0,0,0,1,5,5,2.9%,2019,2
23,Baltimore Ravens (BAL),3,0,0,0,0,0,0,1,4,4,44.1%,2019,2
24,Seattle Seahawks (SEA),1,1,0,0,0,0,0,1,3,3,5.1%,2019,2
25,Las Vegas Raiders (LV),2,0,1,1,0,0,0,1,3,3,6.4%,2019,2
26,Miami Dolphins (MIA),2,0,1,1,0,0,0,1,3,3,58.2%,2019,2
27,Arizona Cardinals (ARI),2,0,0,1,0,0,0,1,2,2,14.4%,2019,2
28,New York Giants (NYG),3,0,0,0,0,0,0,1,2,2,1.8%,2019,2
29,Washington Commanders (WAS),1,1,0,0,0,0,0,1,2,2,40.4%,2019,2
30,Denver Broncos (DEN),0,0,0,0,0,0,0,1,1,1,44.1%,2019,2
31,Dallas Cowboys (DAL),1,0,0,0,0,0,0,1,1,1,73.8%,2019,2
32,Cincinnati Bengals (CIN),0,1,0,0,0,0,0,1,-2,-2,22.4%,2019,2
