Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Mason Crosby (GB),5,6,83.3,48,0,0,3,2,0,2,2,1,19,19,4.8%,2018,2
2,Robbie Gould (SF),3,3,100,45,0,0,1,2,0,3,3,1,14,14,21.5%,2018,2
3,Dustin Hopkins (LAC),3,4,75,49,0,1,0,2,0,0,0,1,11,11,14.5%,2018,2
4,Randy Bullock (TEN),2,2,100,40,0,1,0,1,0,4,4,1,11,11,1.9%,2018,2
5,Stephen Hauschka (FA),2,2,100,43,0,0,0,2,0,2,2,1,10,10,0.0%,2018,2
6,Matt Prater (ARI),2,2,100,43,0,1,0,1,0,3,3,1,10,10,72.8%,2018,2
7,Ryan Succop (TB),2,2,100,42,0,0,1,1,0,2,2,1,9,9,27.5%,2018,2
8,Stephen Gostkowski (FA),2,3,66.7,46,0,1,0,1,0,2,2,1,9,9,0.1%,2018,2
9,Jason Myers (SEA),2,2,100,55,0,0,0,1,1,0,1,1,9,9,1.9%,2018,2
10,Wil Lutz (NO),2,3,66.7,44,0,0,1,1,0,1,1,1,8,8,4.3%,2018,2
11,Matt Bryant (FA),1,1,100,44,0,0,0,1,0,4,4,1,8,8,1.1%,2018,2
12,Brandon McManus (DEN),2,2,100,39,0,0,2,0,0,2,2,1,8,8,59.4%,2018,2
13,Graham Gano (NYG),1,1,100,54,0,0,0,0,1,3,3,1,8,8,28.6%,2018,2
14,Mike Nugent (FA),2,2,100,46,0,1,0,1,0,1,2,1,8,8,1.0%,2018,2
15,Brett Maher (FA),2,2,100,37,0,1,1,0,0,2,2,1,8,8,2.0%,2018,2
16,Aldrick Rosas (FA),2,2,100,38,0,1,1,0,0,1,1,1,7,7,0.0%,2018,2
17,Justin Tucker (BAL),1,1,100,55,0,0,0,0,1,2,2,1,7,7,99.3%,2018,2
18,Caleb Sturgis (FA),1,1,100,24,0,1,0,0,0,4,4,1,7,7,0.0%,2018,2
19,Josh Lambo (FA),1,1,100,28,0,1,0,0,0,4,4,1,7,7,0.0%,2018,2
20,Sebastian Janikowski (FA),1,1,100,56,0,0,0,0,1,2,2,1,7,7,20.0%,2018,2
21,Harrison Butker (KC),0,0,0,0,0,0,0,0,0,6,6,1,6,6,94.7%,2018,2
22,Zane Gonzalez (CAR),2,4,50,39,0,0,2,0,0,0,2,1,6,6,0.7%,2018,2
23,Cody Parkey (FA),1,1,100,25,0,1,0,0,0,3,3,1,6,6,0.1%,2018,2
24,Ka'imi Fairbairn (HOU),1,2,50,34,0,0,1,0,0,2,2,1,5,5,0.6%,2018,2
25,Daniel Carlson (LV),0,3,0,0,0,0,0,0,0,3,3,1,3,3,93.3%,2018,2
26,Chris Boswell (PIT),0,1,0,0,0,0,0,0,0,3,4,1,3,3,9.2%,2018,2
27,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,0.2%,2018,2
28,Chandler Catanzaro (FA),0,0,0,0,0,0,0,0,0,3,4,1,3,3,0.0%,2018,2
29,Jake Elliott (PHI),0,1,0,0,0,0,0,0,0,3,3,1,3,3,20.2%,2018,2
30,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,2,3,1,2,2,4.2%,2018,2
31,Phil Dawson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018,2
32,Michael Palardy (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3%,2018,2
