Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Carolina Panthers (CAR),3,2,2,1,1,0,0,1,21,21,7.6%,2020,16
2,Tampa Bay Buccaneers (TB),4,1,1,1,0,0,0,1,12,12,84.2%,2020,16
3,San Francisco 49ers (SF),3,1,1,2,0,0,0,1,11,11,96.0%,2020,16
4,Baltimore Ravens (BAL),6,0,0,0,0,0,0,1,10,10,90.6%,2020,16
5,Dallas Cowboys (DAL),3,2,1,3,0,0,0,1,10,10,90.0%,2020,16
6,Washington Commanders (WAS),4,1,1,2,0,0,0,1,9,9,51.3%,2020,16
7,Seattle Seahawks (SEA),3,1,0,0,0,0,0,1,9,9,15.0%,2020,16
8,Pittsburgh Steelers (PIT),5,1,1,1,0,0,0,1,9,9,50.2%,2020,16
9,New York Jets (NYJ),4,0,2,3,0,0,0,1,9,9,19.1%,2020,16
10,Kansas City Chiefs (KC),4,0,1,3,0,0,0,1,7,7,46.4%,2020,16
11,Buffalo Bills (BUF),3,0,0,0,0,0,0,1,7,7,96.0%,2020,16
12,Los Angeles Chargers (LAC),2,2,0,0,0,0,0,1,7,7,42.7%,2020,16
13,Green Bay Packers (GB),2,2,0,1,0,0,0,1,7,7,67.2%,2020,16
14,Los Angeles Rams (LAR),5,0,0,0,0,0,0,1,6,6,34.8%,2020,16
15,Arizona Cardinals (ARI),3,0,1,1,0,0,0,1,6,6,9.3%,2020,16
16,Cleveland Browns (CLE),2,0,0,0,0,0,0,1,6,6,42.7%,2020,16
17,Chicago Bears (CHI),1,2,0,0,0,0,0,1,6,6,2.2%,2020,16
18,Miami Dolphins (MIA),3,0,1,0,0,0,0,1,5,5,24.9%,2020,16
19,Atlanta Falcons (ATL),0,2,0,0,0,0,0,1,5,5,2.7%,2020,16
20,Detroit Lions (DET),2,0,0,1,0,0,1,1,4,4,4.0%,2020,16
21,Las Vegas Raiders (LV),3,0,0,0,0,0,0,1,3,3,11.2%,2020,16
22,Denver Broncos (DEN),2,0,0,1,0,0,0,1,3,3,32.3%,2020,16
23,Cincinnati Bengals (CIN),1,0,1,4,0,0,0,1,2,2,33.1%,2020,16
24,New York Giants (NYG),0,0,1,0,0,0,0,1,2,2,24.7%,2020,16
25,New Orleans Saints (NO),2,0,0,2,0,0,0,1,1,1,62.8%,2020,16
26,Philadelphia Eagles (PHI),2,1,0,0,0,0,0,1,0,0,57.2%,2020,16
27,Indianapolis Colts (IND),1,0,0,0,0,0,0,1,0,0,52.9%,2020,16
28,Minnesota Vikings (MIN),0,2,0,0,0,0,0,1,0,0,19.7%,2020,16
29,Tennessee Titans (TEN),1,1,0,0,0,0,0,1,-1,-1,26.8%,2020,16
30,Jacksonville Jaguars (JAC),1,1,0,1,0,0,0,1,-1,-1,22.8%,2020,16
31,Houston Texans (HOU),0,0,0,0,0,0,0,1,-4,-4,0.8%,2020,16
32,New England Patriots (NE),0,0,0,1,0,0,0,1,-4,-4,52.5%,2020,16
