Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Dallas Cowboys (DAL),2,2,2,1,0,0,1,1,15,15,90.0%,2020,15
2,Buffalo Bills (BUF),3,0,1,1,1,0,0,1,12,12,96.0%,2020,15
3,Arizona Cardinals (ARI),6,0,0,3,0,1,0,1,10,10,9.3%,2020,15
4,Baltimore Ravens (BAL),5,0,1,1,0,1,0,1,10,10,90.6%,2020,15
5,Indianapolis Colts (IND),5,0,2,3,0,0,0,1,10,10,52.9%,2020,15
6,Seattle Seahawks (SEA),4,2,0,1,0,0,0,1,9,9,15.0%,2020,15
7,Miami Dolphins (MIA),3,0,1,3,0,0,0,1,9,9,24.9%,2020,15
8,Cleveland Browns (CLE),1,0,0,0,0,0,0,1,8,8,42.7%,2020,15
9,Cincinnati Bengals (CIN),1,1,2,2,0,0,0,1,8,8,33.1%,2020,15
10,New York Jets (NYJ),3,1,0,0,0,0,0,1,8,8,19.1%,2020,15
11,New Orleans Saints (NO),4,0,1,1,0,1,0,1,7,7,62.8%,2020,15
12,Green Bay Packers (GB),3,0,1,2,0,0,0,1,6,6,67.2%,2020,15
13,Philadelphia Eagles (PHI),1,1,2,2,0,0,0,1,6,6,57.2%,2020,15
14,Tennessee Titans (TEN),0,1,2,2,0,0,0,1,6,6,26.8%,2020,15
15,Chicago Bears (CHI),3,1,0,1,0,0,0,1,5,5,2.2%,2020,15
16,Carolina Panthers (CAR),5,0,0,0,0,0,0,1,5,5,7.6%,2020,15
17,New England Patriots (NE),2,1,0,0,0,0,0,1,4,4,52.5%,2020,15
18,Tampa Bay Buccaneers (TB),3,0,0,0,0,0,0,1,3,3,84.2%,2020,15
19,Los Angeles Chargers (LAC),1,1,0,0,0,0,0,1,3,3,42.7%,2020,15
20,Washington Commanders (WAS),0,1,0,0,0,0,0,1,3,3,51.3%,2020,15
21,New York Giants (NYG),1,0,0,0,0,0,0,1,2,2,24.7%,2020,15
22,Pittsburgh Steelers (PIT),2,0,0,0,0,0,0,1,2,2,50.2%,2020,15
23,Minnesota Vikings (MIN),1,1,0,0,0,0,0,1,2,2,19.7%,2020,15
24,Atlanta Falcons (ATL),3,0,0,1,0,0,0,1,2,2,2.7%,2020,15
25,Los Angeles Rams (LAR),2,0,0,1,0,0,0,1,2,2,34.8%,2020,15
26,Kansas City Chiefs (KC),1,1,0,0,0,0,0,1,2,2,46.4%,2020,15
27,Houston Texans (HOU),1,0,0,0,0,0,0,1,1,1,0.8%,2020,15
28,Las Vegas Raiders (LV),1,0,0,1,0,0,0,1,0,0,11.2%,2020,15
29,Detroit Lions (DET),1,0,0,0,0,1,0,1,-1,-1,4.0%,2020,15
30,Jacksonville Jaguars (JAC),1,1,0,2,0,0,0,1,-1,-1,22.8%,2020,15
31,Denver Broncos (DEN),1,0,1,1,0,0,0,1,-1,-1,32.3%,2020,15
32,San Francisco 49ers (SF),2,0,0,0,0,0,0,1,-2,-2,96.0%,2020,15
