Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Chicago Bears (CHI),3,4,0,1,0,1,0,1,20,20,3.2%,2018,14
2,New York Giants (NYG),5,3,0,0,1,0,0,1,18,18,1.7%,2018,14
3,Detroit Lions (DET),3,1,0,2,1,0,0,1,18,18,1.5%,2018,14
4,Seattle Seahawks (SEA),2,0,1,1,1,0,0,1,15,15,1.5%,2018,14
5,Green Bay Packers (GB),2,1,1,1,1,0,0,1,13,13,84.7%,2018,14
6,Tennessee Titans (TEN),4,0,1,1,0,0,0,1,10,10,15.8%,2018,14
7,New York Jets (NYJ),3,2,1,1,0,0,0,1,10,10,1.6%,2018,14
8,Philadelphia Eagles (PHI),3,2,1,1,0,0,0,1,8,8,29.7%,2018,14
9,Los Angeles Rams (LAR),1,3,0,0,0,0,0,1,8,8,67.3%,2018,14
10,New Orleans Saints (NO),4,1,0,1,0,0,0,1,8,8,94.3%,2018,14
11,Arizona Cardinals (ARI),1,0,1,1,0,0,0,1,7,7,3.3%,2018,14
12,Pittsburgh Steelers (PIT),4,0,1,0,0,0,0,1,6,6,43.7%,2018,14
13,Denver Broncos (DEN),3,1,0,2,0,0,0,1,6,6,50.3%,2018,14
14,Minnesota Vikings (MIN),2,1,0,0,0,0,0,1,5,5,13.2%,2018,14
15,New England Patriots (NE),5,0,0,1,0,0,0,1,5,5,46.5%,2018,14
16,Indianapolis Colts (IND),5,0,0,0,0,0,0,1,5,5,89.9%,2018,14
17,Baltimore Ravens (BAL),3,1,0,0,0,0,0,1,5,5,84.6%,2018,14
18,Carolina Panthers (CAR),1,0,2,2,0,0,0,1,5,5,3.1%,2018,14
19,Tampa Bay Buccaneers (TB),1,1,1,1,0,0,0,1,4,4,95.2%,2018,14
20,Kansas City Chiefs (KC),2,0,1,1,0,0,0,1,4,4,28.4%,2018,14
21,Jacksonville Jaguars (JAC),1,1,0,0,0,1,0,1,4,4,1.3%,2018,14
22,Houston Texans (HOU),2,1,0,0,0,0,0,1,4,4,0.8%,2018,14
23,Dallas Cowboys (DAL),2,0,1,1,0,0,0,1,4,4,75.5%,2018,14
24,Cleveland Browns (CLE),1,1,0,0,0,0,0,1,4,4,33.7%,2018,14
25,Buffalo Bills (BUF),0,1,1,0,0,0,0,1,4,4,99.0%,2018,14
26,San Francisco 49ers (SF),2,0,0,1,0,0,0,1,3,3,95.5%,2018,14
27,Washington Commanders (WAS),2,1,0,0,0,0,0,1,3,3,40.8%,2018,14
28,Los Angeles Chargers (LAC),3,0,0,0,0,0,0,1,3,3,58.2%,2018,14
29,Las Vegas Raiders (LV),1,1,0,0,0,0,0,1,3,3,3.2%,2018,14
30,Atlanta Falcons (ATL),4,0,0,0,0,0,0,1,3,3,0.7%,2018,14
31,Cincinnati Bengals (CIN),2,0,0,0,0,0,0,1,2,2,38.1%,2018,14
32,Miami Dolphins (MIA),2,0,0,0,0,0,0,1,1,1,23.4%,2018,14
