Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Chicago Bears (CHI),4,3,1,1,2,0,0,1,28,28,3.2%,2018,9
2,Miami Dolphins (MIA),4,4,0,0,1,0,0,1,25,25,23.4%,2018,9
3,Minnesota Vikings (MIN),10,0,1,0,1,0,0,1,22,22,13.2%,2018,9
4,San Francisco 49ers (SF),8,0,0,1,0,0,0,1,15,15,95.5%,2018,9
5,Los Angeles Chargers (LAC),4,1,0,0,1,0,0,1,13,13,58.2%,2018,9
6,Tennessee Titans (TEN),5,1,1,1,0,0,0,1,10,10,15.8%,2018,9
7,New York Jets (NYJ),4,0,0,0,0,0,0,1,8,8,1.6%,2018,9
8,Dallas Cowboys (DAL),4,0,2,1,0,0,0,1,7,7,75.5%,2018,9
9,Atlanta Falcons (ATL),3,1,0,0,0,0,0,1,6,6,0.7%,2018,9
10,Detroit Lions (DET),1,1,1,0,0,0,0,1,6,6,1.5%,2018,9
11,Carolina Panthers (CAR),3,2,0,1,0,0,0,1,6,6,3.1%,2018,9
12,Denver Broncos (DEN),4,0,0,0,0,0,0,1,5,5,50.3%,2018,9
13,Houston Texans (HOU),2,0,1,1,0,0,0,1,5,5,0.8%,2018,9
14,Kansas City Chiefs (KC),2,1,0,0,0,0,0,1,5,5,28.4%,2018,9
15,New England Patriots (NE),1,0,1,2,0,0,0,1,4,4,46.5%,2018,9
16,Seattle Seahawks (SEA),2,0,0,0,0,0,0,1,3,3,1.5%,2018,9
17,Pittsburgh Steelers (PIT),2,0,0,0,0,0,0,1,3,3,43.7%,2018,9
18,Buffalo Bills (BUF),1,1,0,1,0,0,0,1,2,2,99.0%,2018,9
19,Green Bay Packers (GB),2,0,0,0,0,0,0,1,1,1,84.7%,2018,9
20,Baltimore Ravens (BAL),1,0,0,0,0,0,0,1,1,1,84.6%,2018,9
21,Cleveland Browns (CLE),2,1,0,0,0,0,0,1,0,0,33.7%,2018,9
22,Washington Commanders (WAS),2,1,0,0,0,0,0,1,0,0,40.8%,2018,9
23,Las Vegas Raiders (LV),0,0,0,0,0,0,0,1,-1,-1,3.2%,2018,9
24,New Orleans Saints (NO),0,1,0,0,0,0,0,1,-2,-2,94.3%,2018,9
25,Los Angeles Rams (LAR),0,0,1,1,0,0,0,1,-2,-2,67.3%,2018,9
26,Tampa Bay Buccaneers (TB),2,0,0,1,0,0,0,1,-2,-2,95.2%,2018,9
