Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,New Orleans Saints (NO),4,1,1,1,0,0,0,1,18,18,80.6%,2021,15
2,Dallas Cowboys (DAL),1,3,1,1,0,0,0,1,16,16,73.8%,2021,15
3,Pittsburgh Steelers (PIT),4,1,3,3,0,0,0,1,16,16,23.6%,2021,15
4,Minnesota Vikings (MIN),3,0,3,3,0,0,0,1,15,15,12.2%,2021,15
5,Indianapolis Colts (IND),1,2,0,1,0,0,1,1,14,14,57.4%,2021,15
6,New York Jets (NYJ),1,2,1,0,1,0,0,1,12,12,2.0%,2021,15
7,Houston Texans (HOU),3,0,0,0,0,0,1,1,10,10,3.8%,2021,15
8,Miami Dolphins (MIA),6,0,1,1,0,0,0,1,9,9,58.2%,2021,15
9,Los Angeles Rams (LAR),3,1,0,0,0,0,0,1,9,9,69.6%,2021,15
10,San Francisco 49ers (SF),3,0,1,1,0,0,0,1,9,9,83.9%,2021,15
11,Cincinnati Bengals (CIN),3,0,1,1,0,0,0,1,9,9,22.4%,2021,15
12,Detroit Lions (DET),2,1,0,0,0,0,0,1,8,8,1.1%,2021,15
13,Seattle Seahawks (SEA),4,1,0,0,0,0,0,1,7,7,5.1%,2021,15
14,Washington Commanders (WAS),3,1,1,1,0,0,0,1,7,7,40.4%,2021,15
15,Chicago Bears (CHI),4,1,0,1,0,0,0,1,7,7,2.9%,2021,15
16,Buffalo Bills (BUF),4,1,0,1,0,0,0,1,7,7,99.6%,2021,15
17,Cleveland Browns (CLE),2,1,1,2,0,0,0,1,7,7,21.9%,2021,15
18,Tampa Bay Buccaneers (TB),2,0,0,1,0,0,0,1,6,6,95.4%,2021,15
19,New York Giants (NYG),3,0,1,2,0,0,0,1,5,5,1.8%,2021,15
20,Carolina Panthers (CAR),4,1,0,1,0,0,0,1,5,5,6.1%,2021,15
21,Tennessee Titans (TEN),3,0,0,0,0,0,0,1,4,4,8.1%,2021,15
22,Denver Broncos (DEN),3,0,0,0,0,0,0,1,4,4,44.1%,2021,15
23,Los Angeles Chargers (LAC),1,1,1,1,0,0,0,1,4,4,52.5%,2021,15
24,Arizona Cardinals (ARI),2,0,1,1,0,0,0,1,3,3,14.4%,2021,15
25,Philadelphia Eagles (PHI),2,0,0,2,0,0,0,1,3,3,40.7%,2021,15
26,Kansas City Chiefs (KC),0,1,1,1,0,0,0,1,3,3,41.6%,2021,15
27,New England Patriots (NE),1,1,0,0,0,0,0,1,3,3,46.6%,2021,15
28,Baltimore Ravens (BAL),3,0,0,0,0,0,0,1,2,2,44.1%,2021,15
29,Jacksonville Jaguars (JAC),1,1,0,0,0,0,0,1,2,2,1.0%,2021,15
30,Las Vegas Raiders (LV),0,0,0,0,0,0,0,1,1,1,6.4%,2021,15
31,Atlanta Falcons (ATL),0,0,1,0,0,0,0,1,1,1,0.5%,2021,15
32,Green Bay Packers (GB),1,0,0,0,0,0,0,1,0,0,75.5%,2021,15
